"TF1","TF2","TF3","TF4","TF5","TF6","TF7","TF8","TF9","TF10","TF11","TF12","TF13","TF14","TF15","TF16","TF17","TF18","TF19","TF20","TF21","TF22","TF23","TF24","TF25","TF26","TF27","TF28","TF29","TF30","TF31","TF32","TF33","TF34","TF35","TF36","TF37","TF38","TF39","TF40","TF41","TF42","TF43","TF44","TF45","TF46","TF47","TF48","TF49","TF50","TF51","TF52","TF53","TF54","TF55","TF56","TF57","TF58","TF59","TF60","TF61","TF62","TF63","TF64","TF65","TF66","TF67","TF68","TF69","TF70","TF71","TF72","TF73","TF74","TF75","TF76","TF77","TF78","TF79","TF80","TF81","TF82","TF83","TF84","TF85","TF86","TF87","TF88","TF89","TF90","TF91","TF92","TF93","TF94","TF95","TF96","TF97","TF98","TF99","TF100"
"TF1",-1,0.217872,0,0,-0.143604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255597,0,0,0,0,0,0,-0.20959,0,0,0,0,0,-0.171245,0,0.261844,0,-0.116982,0,0,0,0,0,0,0,0,0.181842,0,0,-0.159813,0,0,0,0,0,-0.200891,0.207421,0,0,0,0,0,0,0,0,0,0,0,-0.241891,0,0,0,0,0,0,0,0,0,0.254434,0,0,0,0,0,0,0,0,0,0,0.16387,0,0,0,0,0,-0.35442,0,0
"TF2",0,-1,0,0,-0.128606,0,0,0,0,-0.172189,0,0,0,0,0,0.165149,0,0,-0.142042,0,0,-0.195687,0,0,0,0,0,0,-0.167586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503305,0,0,0,0,0,0,0,-0.170653,0,0,0,0,0,0,0,0.224662,0,0,0,0,0,-0.13042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142355,0,0,0,0,0,-0.13283,0,0,0,0,0,0,0,0
"TF3",0,0,-1,0,0,0,0,0,0,0,0,0.384414,-0.124829,0.185495,0,0,0,0,0.125685,0,0,0,0,0,0.229656,0,-0.210955,0,0,0,0,0,0,0,0,0,0,0,0,0.174771,0,0,0,-0.159265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132817,-0.224611,0,0,0,0,-0.199162,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159462,0.148972,0,0,0,0.13478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TF4",0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.168493,0,0,0,0,0,0,0,0,0,0,-0.149635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286967,0,0,-0.237475,0,-0.310597,0.312993,0,0,0,0,0.115505,0,0,0,0.263933,0,0,0,0,0,0,0.30467,0.193442,0,0,0.286274,0,0,-0.188121,0,0,0,0,0,0,0,0,0,0,0.217609,0,0,0,-0.21467,0,0,0,0,-0.190641,0,0,0,0,0,0,0,0,0
"TF5",0,0,0,0.259272,-1,-0.298809,0,0,0,0,0,0,0,0,0,0,0.220833,0,0,0,0,0,0,0,0,0,0,-0.149404,0.24879,0,0,0,0,0.13852,0,0,0,0,0,0,0,0,0,0,-0.174111,0,0,0,0,0,-0.210119,0,0,0,0,0,0,0,0,-0.119036,0,0.158056,0,0,0,0,0,0,0,0,0,0,0,0,-0.198466,0,0,0,0,0.239645,0,0,0,0,0,0,0,0,0,0,0,-0.142608,0,0,0,0.148876,0,0,0,0
"TF6",0,0,-0.167968,0,0.313728,-1,0,0,-0.167809,-0.293558,0,0,0,0,0,0,0,0,0,0,0,-0.151473,0,0,0.150046,0,0,0,0,-0.168163,0,0,0,0,0,0.264987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.387509,0,0,0,0,0,0,0,0.262704,0,0,0,0,0,0,0,0,0,-0.195405,0,0,0,0,0.29113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125392,0,0,0,-0.166586,0,0,0
"TF7",0,0,0,0,0,0,-1,0,-0.259603,-0.138978,0,0,0,0,0,0,-0.185388,0,0,0,0,0,0.148063,0,0,0,0,0,0,0,0,0,0,0.134397,0,-0.144651,0,0,0,0,0.289243,0,0,0,0,0.117575,0,0,0,0,0,0,0,0,0.239388,0,0,0,0,0,0,0,0,0,0,0,0.312725,0.137066,0,-0.134136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196046,-0.233061,-0.186902,0,0,0,0,0,0,0,0,0,0
"TF8",0,0.13974,0.387849,0,0,0,0,-1,0,-0.288497,0,-0.212122,0,0.139318,-0.218004,0,0,0,0,0,0,0,0,-0.254116,0,0,0,0,0,0.151741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1351,-0.203741,0,0,0,0,0,0,0,0.303,-0.124944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.278611,0,0,0,0,0,0,0.118635,0,0,0,0
"TF9",0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179679,0,0,0,0,-0.136134,0,0,0,0,0,-0.12611,-0.178093,0.148474,0,0,0,0,0,0,0,0,-0.334801,0,0,0,0.194851,0.153555,0,0,0.252355,0,0,0,0,0,0,0,0,0,0,0,0.243298,-0.209235,0,-0.121111,0,0,0,0,0,0,0,0.184668,0,-0.178438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291267,0,0,0
"TF10",0,0,-0.12928,0,0,0,0,0,0,-1,0.245702,0,0,0,0,0,0,-0.150351,0,0,0,0,0,0,0,-0.181446,0,0,0,0,0.11822,0,0,0,0,0,0.159363,0,0,0,-0.197089,0,0,0,-0.230276,0,0,0,0,0,0,0,0.277387,0,0,0,0,-0.25457,0,0,0,0,0,0,0,0,0,0,-0.254926,0,0,0,0,0,0,0,0,-0.134194,0,0,0,-0.209387,0,0,0,0,0,0,0,0,0.208971,0,0.347512,0,0,0,0,0,0,0
