"TF1","TF2","TF3","TF4","TF5","TF6","TF7","TF8","TF9","TF10","TF11","TF12","TF13","TF14","TF15","TF16","TF17","TF18","TF19","TF20","TF21","TF22","TF23","TF24","TF25","TF26","TF27","TF28","TF29","TF30","TF31","TF32","TF33","TF34","TF35","TF36","TF37","TF38","TF39","TF40","TF41","TF42","TF43","TF44","TF45","TF46","TF47","TF48","TF49","TF50","TF51","TF52","TF53","TF54","TF55","TF56","TF57","TF58","TF59","TF60","TF61","TF62","TF63","TF64","TF65","TF66","TF67","TF68","TF69","TF70","TF71","TF72","TF73","TF74","TF75","TF76","TF77","TF78","TF79","TF80","TF81","TF82","TF83","TF84","TF85","TF86","TF87","TF88","TF89","TF90","TF91","TF92","TF93","TF94","TF95","TF96","TF97","TF98","TF99","TF100","TF101","TF102","TF103","TF104","TF105","TF106","TF107","TF108","TF109","TF110","TF111","TF112","TF113","TF114","TF115","TF116","TF117","TF118","TF119","TF120","TF121","TF122","TF123","TF124","TF125","TF126","TF127","TF128","TF129","TF130","TF131","TF132","TF133","TF134","TF135","TF136","TF137","TF138","TF139","TF140","TF141","TF142","TF143","TF144","TF145","TF146","TF147","TF148","TF149","TF150","TF151","TF152","TF153","TF154","TF155","TF156","TF157","TF158","TF159","TF160","TF161","TF162","TF163","TF164","TF165","TF166","TF167","TF168","TF169","TF170","TF171","TF172","TF173","TF174","TF175","TF176","TF177","TF178","TF179","TF180","TF181","TF182","TF183","TF184","TF185","TF186","TF187","TF188","TF189","TF190","TF191","TF192","TF193","TF194","TF195","TF196","TF197","TF198","TF199","TF200","TF201","TF202","TF203","TF204","TF205","TF206","TF207","TF208","TF209","TF210","TF211","TF212","TF213","TF214","TF215","TF216","TF217","TF218","TF219","TF220","TF221","TF222","TF223","TF224","TF225","TF226","TF227","TF228","TF229","TF230","TF231","TF232","TF233","TF234","TF235","TF236","TF237","TF238","TF239","TF240","TF241","TF242","TF243","TF244","TF245","TF246","TF247","TF248","TF249","TF250","TF251","TF252","TF253","TF254","TF255","TF256","TF257","TF258","TF259","TF260","TF261","TF262","TF263","TF264","TF265","TF266","TF267","TF268","TF269","TF270","TF271","TF272","TF273","TF274","TF275","TF276","TF277","TF278","TF279","TF280","TF281","TF282","TF283","TF284","TF285","TF286","TF287","TF288","TF289","TF290","TF291","TF292","TF293","TF294","TF295","TF296","TF297","TF298","TF299","TF300"
"TF1",-1,0,0.0893185,0,-0.182933,0,0,0,0,0,0,0,0,0,0,0,0,0.146842,0,0,0,0,0,0,-0.14625,0,0,0,0,0,0,0,0,0,0,0,0,0.211479,0,0,0,0,0,0,0,0,0,0,-0.0940964,0,0.0758141,0,0.1003,0,0,0,0,0,0,-0.211639,-0.0740352,0,0,0,0,0.0871988,0,0,0,0,0,0,0,0,0,0,0,0,-0.11073,0,0,0,0,0,0,0,0,0,0,0,-0.159888,-0.0838442,0,0,0,-0.19916,0,0,0,0,0,0,0,0.149047,0,0,0,0,-0.130601,0.0989123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136992,0,-0.179476,-0.150535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0804957,-0.156826,0,0,0,0,0,0,0,0,0.134875,0,0,-0.101603,0,0,-0.177114,0,0,0,0,0,0,-0.0866025,0,0,0,0,0,0,0,-0.132749,0,-0.0806572,0,-0.136979,0,0,-0.110206,0,0,0,0.13942,0,0,0,0,0,0,0,0,0,0,0,0,-0.131322,0,0,0.121251,0,0,0.093429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139748,0,0,0,0,0,-0.085484,0,0,0,0,0,0,-0.11474,-0.07562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129448,0,0,-0.122753,0,0,0,0,0,0,0,0,-0.128719,0,-0.0756434,0,0,0
"TF2",0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110935,0,0,0,0.102109,0,0,0,0,0,0,0.0814813,0,0,0,0,0,0,0,0,0,-0.174948,0,0,0.11528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116063,-0.0906085,0,0,0,0,0,-0.15289,0,0,0,0,0,0,0,-0.0860446,0,-0.100436,0.0732579,0,0,0,-0.121319,0,0,0.154545,0,-0.12364,0.140606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.198232,0.106113,0,0,-0.168698,0,0,0,0,0,-0.157753,0,-0.177979,0,0,0,0,0,0,-0.159488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0925366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169476,-0.148205,0,0,0.202244,0,0,0,0,0.242027,0,0,0,0,0,0,0,0,0.165588,0,0,0,0,0,0,0,0,0,0.0967664,0,0,0,-0.120947,0,0,0,0,0,0,0,0,0.102923,0,0,0,0,0,0,0,0,0,-0.174591,0,0,0,0,0,0,0,0,0,0,0,-0.165975,0,0,-0.175033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130571,0,0,0,0,0,0,0,0,0,0,-0.134261,0,0,-0.0970328,0,0,0.13868,-0.145106,0,0,0,0,0.108543,-0.0923699,0,0.187747,0,0,0,0,0,0,0.141054,0,0,0,0,0,0,0,0,0,0,-0.176924,0,0,0,0,0.0970484,0
"TF3",0,0,-1,0,0,0,0,0,0,0,0,0,-0.0809683,0,0,0,0.125922,0,0,0,0,0,0,0,0,0,0.127495,0,0,-0.0819057,0,0,0,0.161264,0,0,0,0,0,0,-0.0844259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150268,0,0.118624,0,0,0,0.15758,0,0,0,0,0,0,0,0.0914581,0,0,0,0,0,0,0,0.0789329,0.086843,0,0,0,0,0,-0.0823168,-0.108943,-0.0995862,0,0,0,0,0,0,0,0,0,-0.0859469,0,0,0,-0.0792555,0,0,0,0.116227,0,0,0,0,0.181492,0,0,0,0,0,0,0,-0.195636,-0.179049,0,0,0,-0.184947,0,0,0,0,0,0,0,0,0.136089,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167287,-0.147498,0,0,0,0,0,-0.115962,0,0,0,0,0,0,0,0,0,0,0.119634,-0.132002,0,0,0,-0.0869224,0,0,0,0,0,0,-0.1643,0,0,0,0,0,0,0,0,0,0,0,0.138632,0,0,0,0,0,0,0,0,0,-0.0828456,0,0,0.165612,0,0,0.218477,0,0,0,-0.106254,0,0,-0.11165,0,0,0,0,0,0,0,0,0,0,0.149434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0761604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120354
"TF4",0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.0856656,0,0,0,0,0,0.0866559,0,0,0,0,-0.151942,-0.162383,-0.107739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889817,0,0.101682,-0.112992,0,0,0,0,0,0,0,0,0,0,0,-0.144455,0.139602,0,0,0,0,0,0,-0.0929364,0,0.191029,-0.156996,0,0,0,0,0,0,0,-0.0848408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0937154,0,0,0,0,0,-0.105218,0,0.111885,0,0,0,0,-0.125561,0,0,0,0,0,0,0,0.117684,0,0.0912754,0.0980458,0,0.0999637,0,0,0,-0.168886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.160136,0,0.122606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141172,0,0,0,-0.0743735,0,0,0,0,0,0,0,0,0,0.133835,0,0,0.188873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109134,0,0,0,0.103826,0,0,-0.200616,0.109827,0,0,0,0,0,0,0,0,0,0,-0.0958607,0,0,0,0,0.139574,0,0,0,0,0,0,0,0,0,0,-0.11675,0,0,0,0.0825219,0,0,0,0,0,0,0,0,0,0,-0.0797033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0855535,0,0,0,0,0,0,0,0,-0.138801,0,0,0,0,0,0,0,0.125135,-0.102108,0,0,0,0,0,0
"TF5",0,0,0,0,-1,0,0,0,0,0,0,-0.131387,0,0,0,0,0,0,0,0,-0.134539,0,0,0,0,0,0,0,0,0,0.161644,0,0.090834,0,0,0,0,0,0,0,0,0.163038,-0.131878,0,0,0.157273,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0748924,0,0,0,0,0,0,0,0,0,0,-0.153462,0,0,-0.0800692,0,0,0,0.101423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139224,0,0,0,0,-0.0929614,0,0.148075,0,0,0,0,0,0,-0.0929155,0,0,0,0,0,-0.160124,0,0,-0.114684,0,0,0,0,0,0,0,0,0,0,0.0961843,0,0,0,0,0,0.121586,0,0,0,0,0,0,0,0,0,-0.0889531,0,0,0,0,-0.0962423,0.194371,0,0,0,0,0,0,0,0,0,0,0,-0.139341,0,0,0,0,-0.078519,-0.107049,0,0,0,0,0,0,0,-0.201206,0,0,0,0.179845,0,0,0,0,0,0,0,0,0,0,0.133839,0,-0.175388,0,0,-0.075589,0,0,0,0,0,0,0,-0.123344,0,0,0.0800286,0,0,0,0,0,0,0.0940513,0.132244,0,0,0,0.0919108,0,0,-0.0766245,0,-0.13928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804171,0,0,-0.0861409,0,0,0,0,0,0,0.086853,0.0872179,0,0,0,0,0,0,0,0,0.182681,0,0,0,0,0,0,0,0
"TF6",0,0,0,0,0,-1,0.177245,0,0.182988,0,0,0,0,0,0,0,0,-0.118567,0.130227,0,0,0,0,0,-0.0818294,0,-0.140131,0,0,-0.149135,0,0,-0.154915,0,0,0,0,0,-0.134211,-0.158119,0,0,0,0,0,0,0.133384,0,0,0,0,0,0,0,0,0,0,-0.0943426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119764,0,0,0,0,0,0,0,0,0,-0.165575,0,0,0,0,0,0,0,0.0951049,0,0,0,0,0,0.0757141,0,0,0.0804921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119979,0,0.241449,0.130718,0,0,0,0,0,0,0,0,0,0,0,-0.0899677,-0.0912318,0.102742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0854776,0,0,0,0,0,0,0,0,0,0.100248,0,0,0,0,0,-0.079423,0,0,0,0,0,0,0,0,0,0,-0.0889808,0,-0.0837789,0.122336,0,0,0,0.10675,0,0,0,0.11263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112057,0,-0.0956555,0,0.148494,0.120719,0,0,-0.150378,0,0,-0.0898861,0,0,0,0,0,0,0,0,0,0,0,0,0.0893616,0,0,0,-0.0835057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TF7",0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-0.154253,0,0,-0.121536,0,0,0,0,0,0,0,0.109175,0,-0.171403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0877014,0,0,0.211604,0,0,0.0945642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15664,-0.106944,0,0,0,-0.134405,0,0,0,0,0,0,0,-0.101784,-0.202976,0,0,0,0,0,0.0838662,0,0,0,0,0,0,0,0.187948,0,0,0,0,0,0,0,0,0,0.0731446,0,0,-0.219881,0.139751,0,0,0,0,0,0,0,0,-0.18369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0816465,0,0,0.0901068,0,0,0,0,-0.145286,-0.0749309,0,0,0,0,0,0.180367,0,0,0,0,0,0,0,0,0,0.0787461,0,0,0,0,-0.151008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114064,0,0.168104,0,0,0,0,0,0,0,0,0,0.141586,0,0,0,0,0,0,0,0,0,0,0.0811924,0,0,0,0,0,0,-0.18306,0,0,0,0,0.0861329,0,0,-0.206521,0,0.0942602,0,0,0,0,0,0,0,-0.092746,0,-0.117395,0,0,0,0,-0.091286,0,0,0.0908126,0.169076,-0.132842,-0.110575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TF8",0,0,0,0,0,0,0,-1,-0.0914037,0,0,-0.0874845,0,0,0,0,0,0,-0.168315,0,0,0,0.140169,-0.162724,0,0,0,0,0,0,0,0,0,0,0,0,0.0921058,0,0,0,0,0.136499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108143,0,0,0,0,0,0,0,-0.0926403,-0.104867,0,0,0,0,0.143998,0,0.152834,0,0,-0.0955091,0,0,0,0,0,0,-0.077882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160636,0,0,0,0,0.132846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106473,0,0,0,0,0,0,0.0878235,0,0,0,0,0,0,0,0,0,-0.108947,0,0,0,0,0.0749988,-0.115787,0,0,0,0,0,0,0,-0.159633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107618,0,0,0,0,0,0,0,0,0,-0.191286,0.0948549,0.0815414,0,0,0,-0.150445,0,-0.0732369,0,0,0.0899672,-0.214284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177217,0,-0.148686,0.187708,0,0,0,0,0,-0.0852213,0,0,0,0,0,0,0.128173,0,0,0,0,0,-0.12921,0,0.0817014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145565,0.131176,0,-0.14452,0,0
"TF9",0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-0.111523,0,0,0,0,0,0,0.0910643,0,0,0,0,0,0.11302,-0.120115,0,0.133841,0,0,-0.167295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197061,0,0,0,-0.20975,0,0,0,0,0.0865974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0757075,0,0,0,0,0,-0.196669,0,0,-0.190949,0,0,0,0,0,-0.172676,0,0,0,0,0,0,0,0,0,0,-0.149057,0,-0.188707,0,0,0,-0.0950863,0,0,0,0,0,0,0,0,0,0,0,0.0855135,0.173163,0,0,0,0,-0.116532,0,0,0,0,0.163454,0.13183,0,0,0,0,0,0,0,-0.0877855,0,-0.150559,0,0,0,0,-0.117403,0,0,0,0.10339,0,0,0,0,-0.089161,0,0,-0.101241,0,0,0,0,0.105906,0.123625,0,-0.0826407,0,0,0,0,0,0,0,0,0,0,0,0.136718,-0.183294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203537,0,0,0,0,0,0,0,0,0,0,0.217026,0,0,0,0,0,0,0.117419,0,0,0,0.085269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.155473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122149,0.0935469,0.158832,0,0,0,-0.116524,0,0,-0.146738,0,0,0,0,0,0,0,0,0,-0.0750913,0,0,0,0,0,0,0,0,0,0
"TF10",0,0,0,0,0,0,0.180748,-0.0903255,0,-1,0,0,0,0,-0.196705,0,0,0,0,0,0,0,0,0,0,0,0,-0.0954212,-0.180123,0,0,0.135835,-0.133616,0,0,0,0,0,0,-0.0885532,0,0.0905888,0,0,-0.104217,0,0,0,0,0,0,-0.224833,0,0,0,0,0.107808,0,0,0,0,0.0974234,0,0,0,0,0,0,0,0,0,0,0,0,-0.107807,0,-0.119826,0,0,0,0,0,0,-0.0784537,0,0,0,0,0,0,0,0,0,0.169463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780801,0,0,0,0.150805,0,0,0.191865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.120543,0,0,0,0,-0.122678,0.0984096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.144212,0,0,0,0,0,0,0,0,0,0,0,0.11244,0,0,0,0,0.141342,0.151242,-0.112209,0.0769957,0,0,0,0,0,0,0,0,0,0,0,0.0778483,0,0,0,0,0,0,0.130313,0,0,0.134672,0,-0.208904,0.195488,0,0,0,0,0,0.122054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738906,0,0,0,0,0,0,0,0,0.0920807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.172906,0,0,0.100532,0.120245,0,0,0,0,0,0,0,0
